ID_expediente,Titulo,Fecha,Tipo,Sector,Ambito,Estado,Ultimo_resultado_web,Resultado_clasificado,Keywords_encontradas,URL_expediente,URL_resolucion
CFT/DE/354/24,CAPELLA AURIGA S.L. / REE  -COMPOSTILLA-,2025-01-09,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo,NO_CLASIFICADO,,https://www.cnmc.es/expedientes/cftde35424,https://www.cnmc.es/sites/default/files/5729450.pdf
CFT/DE/128/24,GUAZUBIRA SOLAR S.L.U. / E-DISTRIBUCIÓN REDES DIGITALES S.L.U.  -ST MAZUELO Y ALC_REAL-,2025-01-16,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde12824,https://www.cnmc.es/sites/default/files/5729455.pdf
CFT/DE/039/24,ALERION SPAIN S.L. / I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U.  -PE DURAKOGAIN-,2025-06-12,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo - Archivo de expediente,ESTIMADO,ESTIMADO:estima; ARCHIVADO:archivo,https://www.cnmc.es/expedientes/cftde03924,https://www.cnmc.es/sites/default/files/5729459.pdf
CFT/DE/022/25,FOTOWATIO RENEWABLE VENTURES SERVICIOS ESPAÑA S.L. / I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U. - SET VITORIA 30 KV-,2025-07-17,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde02225,https://www.cnmc.es/sites/default/files/6075780.pdf
CFT/DE/165/25,ENERGÍA INAGOTABLE DE KAORI S.L. Y OTRAS TRES EMPRESAS / REE  -NUDO CASTEJÓN 400 KV-,2025-07-17,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde16525,https://www.cnmc.es/sites/default/files/6075799.pdf
CFT/DE/144/25,ENERGIA INAGOTABLE DE PROXIMA CENTAURI S.L. Y ENERGIA INAGOTABLE DE STIGMA S.L. / REE  -NUDO ISONA 220 KV-,2025-07-17,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde14425,https://www.cnmc.es/sites/default/files/6075801.pdf
CFT/DE/366/24,FOTOWATIO RENEWABLE VENTURES SERVICIOS ESPAÑA S.L. / E-DISTRIBUCIÓN REDES DIGITALES S.L.U.  -SET BELLISSENS 25 KV-,2025-07-10,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima; ARCHIVADO:archivo,https://www.cnmc.es/expedientes/cftde36624,https://www.cnmc.es/sites/default/files/6075808.pdf
CFT/DE/267/24,DESARROLLOS RENOVABLES IBERIA TAANA S.L. / REE  -NUDO RICOBAYO 220 KV-,2025-07-10,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde26724,https://www.cnmc.es/sites/default/files/6075817.pdf
CFT/DE/139/25,ENERGÍA INAGOTABLE DE LEONIS S.L. Y OTRAS CINCO EMPRESAS / REE  -NUDO PIEROLA 220 KV-,2025-07-10,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde13925,https://www.cnmc.es/sites/default/files/6075839.pdf
CFT/DE/073/25,ENERGIAS RENOVABLES DE ATENEA S.L. / REE  -DCM ATENEA- MUDEJAR 400 KV-,2025-07-10,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde07325,https://www.cnmc.es/sites/default/files/6075983.pdf
CFT/DE/345/24,FOTOWATIO RENEWABLE VENTURES SERVICIOS ESPAÑA S.L / I-DE REDES INTELIGENTES S.A.U.  -SET ALI 30 KV-,2025-07-10,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima; ARCHIVADO:archivar,https://www.cnmc.es/expedientes/cftde34524,https://www.cnmc.es/sites/default/files/6076007.pdf
CFT/DE/075/25,FOTOWATIO RENEWABLE VENTURES SERVICIOS ESPAÑA S.L. / I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U.  -ST ZAMUDIO 30 KV-,2025-07-10,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde07525,https://www.cnmc.es/sites/default/files/6076011.pdf
CFT/DE/373/24,QUIMERATLUX S.L. / UFD  -SET GETAFE 45 KV-,2025-07-10,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde37324,https://www.cnmc.es/sites/default/files/6076015.pdf
CFT/DE/143/25,ENERGIA INAGOTABLE DE CUJAM S.L. Y OTRAS DIEZ EMPRESAS MÁS / REE  -NUDO RUBI 400KV-,2025-07-03,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde14325,https://www.cnmc.es/sites/default/files/6076074.pdf
CFT/DE/141/25,ENERGIA INAGOTABLE DE CRESIDA S.L. Y OTRAS DOS EMPRESAS /REE  -NUDO ISONA 400 KV-,2025-06-27,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde14125,https://www.cnmc.es/sites/default/files/6076081.pdf
CFT/DE/140/25,ENERGÍA INAGOTABLE DE LIBRA S.L. Y OTRAS CATORCE EMPRESAS / REE  -NUDO PIEROLA 400 KV-,2025-06-27,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde14025,https://www.cnmc.es/sites/default/files/6076126.pdf
CFT/DE/312/24,FOTOWATIO RENEWABLE VENTURES SERVICIOS ESPAÑA S.L. / E-DISTRIBUCIÓN REDES DIGITALES S.L.U.  -SET RIO CAYA 20 KV-,2025-06-27,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde31224,https://www.cnmc.es/sites/default/files/6089784.pdf
CFT/DE/317/24,EWD ENERGY FV I S.L. / EDISTRIBUCIÓN REDES DIGITALES S.L.  -PSF MARANYA-,2025-07-10,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo,ESTIMADO,ESTIMADO:estima; ARCHIVADO:archivo,https://www.cnmc.es/expedientes/cftde31724,https://www.cnmc.es/sites/default/files/6089788.pdf
CFT/DE/064/25,DIKTYO AVUTARDA S.L. / UFD  -BESS ARAGON-,2025-07-10,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde06425,https://www.cnmc.es/sites/default/files/6089790.pdf
CFT/DE/138/25,ENERGÍA INAGOTABLE DE AELO S.L. Y OTRAS TRECE EMPRESAS / REE  -NUDO CAN JARDI 220 KV-,2025-07-10,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde13825,https://www.cnmc.es/sites/default/files/6090380.pdf
CFT/DE/025/25,JINKO GREENFIELD SPAIN 2 S.L. / UFD DISTRIBUCIÓN ELECTRICIDAD S.A.,2025-07-17,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde02525,https://www.cnmc.es/sites/default/files/6090390.pdf
CFT/DE/007/25,SOLAR BS 018 S.L./ I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U.  -SET ROJALES T1 20KV-,2025-07-17,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde00725,https://www.cnmc.es/sites/default/files/6090497.pdf
CFT/DE/005/25,NAVIA SOLAR S.L.U. / REE  -LUDRIO 400 KV-,2025-07-23,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde00525,https://www.cnmc.es/sites/default/files/6090526.pdf
CFT/DE/370/24,ENERGÍA INAGOTABLE DE HONOS S.L. Y OTRAS DOCE EMPRESAS / REE  NUDO BEGUES 400 K-,2025-02-13,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ARCHIVADO:archivo,https://www.cnmc.es/expedientes/cftde37024,https://www.cnmc.es/sites/default/files/5796786.pdf
CFT/DE/154/24,FRV ARROYADAS 2 S.L.U./ E-DISTRIBUCIÓN REDES DIGITALES S.L.U.,2025-02-20,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde15424,https://www.cnmc.es/sites/default/files/5802557.pdf
CFT/DE/016/24,CALATEA DIRECTORSHIP S.L. / REE  -NUDO VALPARAISO 220 KV-,2024-06-20,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,ESTIMADO,ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde01624,https://www.cnmc.es/sites/default/files/5805790.pdf
CFT/DE/187/24,SOLAR BS 013 S.L. / UFD DISTRIBUCIÓN ELECTRICIDAD S.A.  -JARAMA II Y JARAMA III-,2024-12-03,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde18724,https://www.cnmc.es/sites/default/files/5805835.pdf
CFT/DE/153/24,BENBROS ST S.L. / I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U.,2024-12-03,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde15324,https://www.cnmc.es/sites/default/files/5805878.pdf
CFT/DE/203/24,GOODMAN REAL ESTATE SPAIN S.L. / UFD DISTRIBUCIÓN ELECTRICIDAD S.A.,2024-12-19,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde20324,https://www.cnmc.es/sites/default/files/5805946.pdf
CFT/DE/197/24,IGNIS DATA DELTA S.L. / REE  -LA MORALEJA-,2025-02-27,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde19724,https://www.cnmc.es/sites/default/files/5806205.pdf
CFT/DE/254/24,SARVOLT 13 S.L. / I-DE REDES,2025-02-27,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo,ESTIMADO,ESTIMADO:estima; ARCHIVADO:archivo,https://www.cnmc.es/expedientes/cftde25424,https://www.cnmc.es/sites/default/files/5806272.pdf
CFT/DE/155/24,CLERE IBERICA 3 S.L.U. /  MEDINA GARVEY S.A.  -VILLAMANRIQUE DE LA CONDESA-,2025-02-20,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde15524,https://www.cnmc.es/sites/default/files/5810674.pdf
CFT/DE/233/24,DESARROLLOS ECOINDUSTRIALES LA CARTUJA S.L. / E-DISTRIBUCIÓN.,2025-02-20,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde23324,https://www.cnmc.es/sites/default/files/5810694.pdf
CFT/DE/323/24,JINKO GREENFIELD SPAIN 2 S.L. / REE  -RENEDO 220KV-,2025-07-03,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde32324,https://www.cnmc.es/sites/default/files/6032911.pdf
CFT/DE/304/24,SOLAR BS 019 S.L. /  I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U.  -INGENIO T5 20KV-,2025-06-27,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde30424,https://www.cnmc.es/sites/default/files/6033071.pdf
CFT/DE/352/24,BERBEDEL ENERGIA S.L. / I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U. -FUENLABRADA STORAGE 1-,2025-06-27,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima; ARCHIVADO:archivar,https://www.cnmc.es/expedientes/cftde35224,https://www.cnmc.es/sites/default/files/6033187.pdf
CFT/DE/325/24,SOLAR BS 010 S.L. / I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U.  -GETAFE I-,2025-06-27,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde32524,https://www.cnmc.es/sites/default/files/6033277.pdf
CFT/DE/363/24,GRANATA GREEN FV I S.L. / I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U.  -NUDO VITORIA 30 KV-,2025-06-27,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima; ARCHIVADO:archivar,https://www.cnmc.es/expedientes/cftde36324,https://www.cnmc.es/sites/default/files/6033442.pdf
CFT/DE/300/24,SOLAR BS 021 S.L. / I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U.  -ST MASALFAS T1-,2025-06-27,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde30024,https://www.cnmc.es/sites/default/files/6033524.pdf
CFT/DE/343/24,SOLAR BS 023 S.L. / I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U.  -ST PARLA T1-,2025-06-27,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde34324,https://www.cnmc.es/sites/default/files/6033632.pdf
CFT/DE/101/25,SOLARVENTURA ENERGY S.L. / REE  -NUDO SALINAS 66 KV -,2025-07-17,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo,ESTIMADO,ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde10125,https://www.cnmc.es/sites/default/files/6075741.pdf
CFT/DE/084/25,SOLARIA PROMOCIÓN Y DESARROLLO FOTOVOLTAICO S.L. / REE  -NUDO  TRILLO 400 KV-,2025-07-17,Conflictos de acceso - Energía,Conflictos,Energía,,Acuerdo del Consejo,ESTIMADO,ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde08425,https://www.cnmc.es/sites/default/files/6075770.pdf
CFT/DE/038/25,FOTOWATIO RENEWABLE VENTURES SERVICIOS ESPAÑA S.L. / I-DE REDES ELÉCTRICAS INTELIGENTES S.A.U. -SE ABANTO 30 KV-,2025-07-17,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde03825,https://www.cnmc.es/sites/default/files/6075774.pdf
CFT/DE/170/24,VILLARS STORAGE RENEWABLE SEIS S.L. / REE  -NUDO TABIELLA 220 KV-,2025-02-13,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestima; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde17024,https://www.cnmc.es/sites/default/files/5782352.pdf
CFT/DE/218/24,KENERTALLA SOLAR I S.L.U. / UFD DISTRIBUCIÓN ELECTRICIDAD S.A.  -KENERNARES I Y II-,2025-02-13,Conflictos de acceso - Energía,Conflictos,Energía,,Resolución del Consejo,DESESTIMADO,DESESTIMADO:desestimar; ESTIMADO:estima,https://www.cnmc.es/expedientes/cftde21824,https://www.cnmc.es/sites/default/files/5782368.pdf
